name,description,split,count,parses.count,parses.length,disambiguated.count,disambiguated.length,coverage.all,coverage.disambiguated
csli,testsuite,train,960,935,6.45,910,6.39,0.973958333333333,0.947916666666667,
ccs,testsuite,train,63,63,5.56,62,8.62,1,0.984126984126984,
control,testsuite,train,1305,1299,8.62,1254,8.62,0.995402298850575,0.960919540229885,
esd,testsuite,train,62,61,4.35,60,4.38,0.983870967741935,0.967741935483871
fracas,testsuite,train,640,638,7.64,632,7.59,0.996875,0.9875,
handp12,testsuite,train,386,381,10.00,355,10.00,0.987046632124352,0.919689119170985,
mrs,testsuite,train,107,107,4.47,107,4.47,1,1,
pest,testsuite,train,25,25,33.00,25,33.00,1,1,
sh-spec,testsuite,train,599,584,16.37,575,15.49,0.974958263772955,0.959933222036728,
trec,testsuite,train,693,691,6.93,688,6.93,0.997113997113997,0.992784992784993,
cb, essay,test,769,740,21.63,715,20.93,0.962288686605982,0.929778933680104,
ecoc,e-commerce,train,1254,1217,7.69,1191,7.63,0.970494417862839,0.949760765550239,
ecos,e-commerce,train,1678,1561,8.54,1473,8.42,0.930274135876043,0.877830750893921,
ecpa,e-commerce,dev,1654,1549,8.40,1520,8.32,0.936517533252721,0.918984280532044,
ecpr,e-commerce,test,1207,1131,9.45,1107,9.42,0.937033968516984,0.917149958574979,
hike,logon,train,330,330,12.86,327,12.85,1,0.990909090909091,
jh0,logon,train,261,259,19.86,259,19.63,0.992337164750958,0.992337164750958,
jh1,logon,train,1254,1244,14.41,1228,14.16,0.992025518341308,0.9792663476874,
jh2,logon,train,1185,1177,15.08,1160,13.79,0.993248945147679,0.978902953586498,
jh3,logon,train,1311,1290,14.91,1259,14.31,0.983981693363844,0.960335621662853,
jh4,logon,train,1454,1428,14.63,1418,14.34,0.982118294360385,0.975240715268225,
jh5,logon,dev,464,455,12.92	441,12.69,0.980603448275862,0.950431034482759,
jhk,logon,test,250,250,13.18,246,13.16,1,0.984,
jhu,logon,test,294,291,13.56,283,13.33,0.989795918367347,0.962585034013605,
tg1,logon,train,1013,1002,14.22,965	13.89,0.989141164856861,0.952615992102665,
tg2,logon,dev,1001,984,14.78,953,14.40,0.983016983016983,0.952047952047952,
tgk,logon,test,90,88,15.29,86,14.91,0.977777777777778,0.955555555555556,
tgu,logon,test,90,87,14.83,85,14.26,0.966666666666667,0.944444444444444,
ps,logon,train,965,955,14.08,939,13.88,0.989637305699482,0.973056994818653,
psk,logon,test,45,44,9.18,40,9.37,0.977777777777778,0.888888888888889,
psu,logon,test,45,43,11.96,40,12.30,0.955555555555556,0.888888888888889,
rondane,logon,test,1288,1272,14.91,1229,14.65,0.987577639751553,0.954192546583851,
rtc000,tanaka,train,1500,1449,11.52,1425,11.42,0.966,0.95,
rtc001,tanaka,train,1500,1437,11.57,1415,11.52,0.958,0.943333333333333,
sc01,semcor,train,1000,962,17.87,905,16.70,0.962,0.905,
sc02,semcor,train,1103,1054,17.94,995,16.41,0.955575702629193,0.902085222121487,
sc03,semcor,train,1000,969,16.89,912,15.85,0.969,0.912,
vm6,verbmobil,train,4037,3652,7.65,3586,7.61,0.904632152588556,0.888283378746594,
vm13,verbmobil,train,3408,3189,8.45,3100,8.27,0.935739436619718,0.90962441314554,
vm31,verbmobil,train,3914,3678,6.03,3595,5.92,0.939703628002044,0.918497700562085,
vm32,verbmobil,test,1034,999,7.99,984,7.84,0.966150870406189,0.951644100580271,
ws201,wescience,train,799,739,19.02,697,16.87,0.924906132665832,0.872340425531915,
ws202,wescience,train,1233,1191,16.74,1147,15.98,0.965936739659367,0.930251419302514,
ws203,wescience,train,649,616,18.29,591,17.32,0.949152542372881,0.910631741140216,
ws204,wescience,train,982,921,17.46,866,16.00,0.937881873727087,0.881873727087576,
ws205,wescience,train,884,779,20.06,712,17.59,0.881221719457013,0.805429864253394,
ws206,wescience,train,889,836,17.14,806,16.03,0.940382452193476,0.906636670416198,
ws207,wescience,train,796,741,17.29,690,15.38,0.930904522613065,0.866834170854271,
ws208,wescience,train,960,891,18.42,832,17.01,0.928125,0.866666666666667,
ws209,wescience,train,810,775,17.03,748,16.98,0.95679012345679,0.923456790123457,
ws210,wescience,train,862,815,18.06,774,17.14,0.945475638051044,0.897911832946636,
ws211,wescience,train,674,626,18.01,593,16.55,0.928783382789317,0.879821958456973,
ws212,wescience,dev,613,578,18.55,548,17.53,0.942903752039152,0.893964110929853,
ws213,wescience,test,927,885,18.09,858,17.04,0.954692556634304,0.925566343042071,
ws214,wescience,test,686,641,20.33,573,18.22,0.934402332361516,0.835276967930029,
wlb03,testsuite,ignored,1143,1013,13.34,865,12.07,0.886264216972878,0.756780402449694,
wnb03,testsuite,ignored,1078,1006,16.59,908,15.15,0.933209647495362,0.842300556586271,
peted,pete,train,132,129,10.47,126,10.51,0.977272727272727,0.954545454545455,
petet,pete,test,602,591,10.49,580,10.35,0.981727574750831,0.963455149501661,
wsj00,deepbank,train,1921,1858,20.77,1833,20.19,0.967204580947423,0.954190525767829,
wsj01,deepbank,train,1993,1917,20.73,1857,19.91,0.961866532865028,0.93176116407426,
wsj02,deepbank,train,1989,1911,20.87,1835,20.00,0.96078431372549,0.922574157868275,
wsj03,deepbank,train,1480,1425,20.75,1393,20.31,0.962837837837838,0.941216216216216,
wsj04,deepbank,train,2265,2175,20.91,2047,20.22,0.960264900662252,0.903752759381898,
wsj05,deepbank,train,2134,2049,20.83,2002,20.15,0.960168697282099,0.938144329896907,
